순위,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,투타,타점,희생번트,희생플라이
1,LG,0.282,20,794,663,127,187,32,1,21,284,116,11,10
2,롯데,0.280,22,864,751,97,210,41,3,8,281,92,13,6
3,NC,0.266,16,620,533,79,142,22,4,17,223,77,7,8
4,삼성,0.260,21,827,723,118,188,36,3,22,296,105,6,7
5,키움,0.253,22,854,750,98,190,37,2,18,285,89,5,6
6,두산,0.253,19,741,653,87,165,31,5,10,236,77,9,7
7,KIA,0.242,20,762,666,87,161,37,0,21,261,86,5,3
8,KT,0.239,20,759,661,66,158,30,3,9,221,64,7,8
9,SSG,0.234,18,693,598,65,140,19,1,8,185,64,13,6
10,한화,0.230,22,836,739,89,170,38,4,13,255,85,8,4
